// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Projects\benchmarks\bin\Release\net6.0\bd35de55-2da1-42f0-9c25-d02d12690d69
// command took 2.75s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\Projects\benchmarks\bin\Release\net6.0\bd35de55-2da1-42f0-9c25-d02d12690d69
// command took 6.42s and exited with 0
// ***** Done, took 00:00:09 (9.41 sec)   *****
// Found 5 benchmarks:
//   MonitorCompare.ManualMethod: DefaultJob
//   MonitorCompare.TryFinallyMethod: DefaultJob
//   MonitorCompare.DeferMethod: DefaultJob
//   MonitorCompare.UsingMethod: DefaultJob
//   MonitorCompare.Using2Method: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MonitorCompare.ManualMethod: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet bd35de55-2da1-42f0-9c25-d02d12690d69.dll --benchmarkName MonitorCompare.ManualMethod --job Default --benchmarkId 0 in D:\Projects\benchmarks\bin\Release\net6.0\bd35de55-2da1-42f0-9c25-d02d12690d69\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.10 (6.0.1022.47605), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 522200.00 ns, 522.2000 us/op
WorkloadJitting  1: 1 op, 1217700.00 ns, 1.2177 ms/op

OverheadJitting  2: 16 op, 440600.00 ns, 27.5375 us/op
WorkloadJitting  2: 16 op, 956300.00 ns, 59.7687 us/op

WorkloadPilot    1: 16 op, 202100.00 ns, 12.6312 us/op
WorkloadPilot    2: 32 op, 620000.00 ns, 19.3750 us/op
WorkloadPilot    3: 64 op, 806400.00 ns, 12.6000 us/op
WorkloadPilot    4: 128 op, 1637000.00 ns, 12.7891 us/op
WorkloadPilot    5: 256 op, 2843300.00 ns, 11.1066 us/op
WorkloadPilot    6: 512 op, 5239800.00 ns, 10.2340 us/op
WorkloadPilot    7: 1024 op, 10878300.00 ns, 10.6233 us/op
WorkloadPilot    8: 2048 op, 21513100.00 ns, 10.5044 us/op
WorkloadPilot    9: 4096 op, 40394800.00 ns, 9.8620 us/op
WorkloadPilot   10: 8192 op, 70842900.00 ns, 8.6478 us/op
WorkloadPilot   11: 16384 op, 122476300.00 ns, 7.4754 us/op
WorkloadPilot   12: 32768 op, 257980000.00 ns, 7.8729 us/op
WorkloadPilot   13: 65536 op, 388846900.00 ns, 5.9333 us/op
WorkloadPilot   14: 131072 op, 728076000.00 ns, 5.5548 us/op

OverheadWarmup   1: 131072 op, 361400.00 ns, 2.7573 ns/op
OverheadWarmup   2: 131072 op, 675100.00 ns, 5.1506 ns/op
OverheadWarmup   3: 131072 op, 644200.00 ns, 4.9149 ns/op
OverheadWarmup   4: 131072 op, 728500.00 ns, 5.5580 ns/op
OverheadWarmup   5: 131072 op, 815100.00 ns, 6.2187 ns/op
OverheadWarmup   6: 131072 op, 972200.00 ns, 7.4173 ns/op
OverheadWarmup   7: 131072 op, 764100.00 ns, 5.8296 ns/op

OverheadActual   1: 131072 op, 654700.00 ns, 4.9950 ns/op
OverheadActual   2: 131072 op, 535600.00 ns, 4.0863 ns/op
OverheadActual   3: 131072 op, 816800.00 ns, 6.2317 ns/op
OverheadActual   4: 131072 op, 770600.00 ns, 5.8792 ns/op
OverheadActual   5: 131072 op, 360800.00 ns, 2.7527 ns/op
OverheadActual   6: 131072 op, 697000.00 ns, 5.3177 ns/op
OverheadActual   7: 131072 op, 813000.00 ns, 6.2027 ns/op
OverheadActual   8: 131072 op, 793100.00 ns, 6.0509 ns/op
OverheadActual   9: 131072 op, 853700.00 ns, 6.5132 ns/op
OverheadActual  10: 131072 op, 907800.00 ns, 6.9260 ns/op
OverheadActual  11: 131072 op, 827100.00 ns, 6.3103 ns/op
OverheadActual  12: 131072 op, 646600.00 ns, 4.9332 ns/op
OverheadActual  13: 131072 op, 614100.00 ns, 4.6852 ns/op
OverheadActual  14: 131072 op, 1106300.00 ns, 8.4404 ns/op
OverheadActual  15: 131072 op, 635500.00 ns, 4.8485 ns/op
